id,title,description,availability,condition,price,link,image_link,additional_image_link,brand,inventory,fb_product_category,google_product_category,sale_price,sale_price_effective_date,product_type,color,size,item_group_id
63ad039eb81d7d00047245a1,Supreme Gloves V2,"Introducing the new and improved Glow LEDs Supreme Gloves V2: Red Tag Edition! These gloves feature an even stretchier and softer material that is tailored to fit your fluttery fingers even more comfortably than before! The plushy interior provides extra comfort and luxury, making them perfect for long hours of melting face.

With new whites comes new sizing! Whereas the Purple Tags run small, the Red Tags are true to size. We recommend sizing down from what you're used to in Purple Tags (if you were a Large Purple, order a Medium Red). If you've ordered gloves from other companies, order the size that typically fits you there.
We encourage you to try our Sizing Sampler Pack to ensure you get the perfect fit. 
We also offer Refresh Packs, which include 6 pairs of Supremes and 120 batteries of your choice at a discounted bulk price.

These gloves are compatible with all Microlights and Gloving accessories, so you can customize your look and style. Upgrade to the new Glow LEDs Supreme Gloves and take your gloving game to the next level!",In Stock,New,3.95 USD,https://www.glow-leds.com/collections/all/products/supreme_gloves_v2,https://thumbs2.imgbox.com/b0/b3/HO2xab2t_t.jpeg,https://thumbs2.imgbox.com/67/df/YrEzo8Uv_t.jpeg,Glow LEDs,30,toys & games > electronic toys,Toys & Games > Toys > Visual Toys,0 USD,1970-01-01T00:00:00.000/2021-01-01T00:00:00.000,gloves,Red,,
641314b3127e22000258dfa2,Supreme Gloves V2 - S,"Be as fresh as you can be with Glow LEDs Supreme White Gloves! Extra stretchy for all sized hands and with a super soft interior that will make you hands happy! Never be without that smooth look when your melting face.
Supreme Gloves are compatible with all Microlights and Gloving accessories.",In Stock,New,3.95 USD,https://www.glow-leds.com/collections/all/products/supreme_gloves_v2_s,https://thumbs2.imgbox.com/b0/b3/HO2xab2t_t.jpeg,https://thumbs2.imgbox.com/67/df/YrEzo8Uv_t.jpeg,Glow LEDs,30,toys & games > electronic toys,Toys & Games > Toys > Visual Toys,0 USD,1970-01-01T00:00:00.000/2021-01-01T00:00:00.000,accessories,White,S,63ad039eb81d7d00047245a1
641314d7dc4717000212cf1f,Supreme Gloves V2 - M,"Be as fresh as you can be with Glow LEDs Supreme White Gloves! Extra stretchy for all sized hands and with a super soft interior that will make you hands happy! Never be without that smooth look when your melting face.
Supreme Gloves are compatible with all Microlights and Gloving accessories.",In Stock,New,3.95 USD,https://www.glow-leds.com/collections/all/products/supreme_gloves_v2_m,https://thumbs2.imgbox.com/b0/b3/HO2xab2t_t.jpeg,https://thumbs2.imgbox.com/67/df/YrEzo8Uv_t.jpeg,Glow LEDs,30,toys & games > electronic toys,Toys & Games > Toys > Visual Toys,0 USD,1970-01-01T00:00:00.000/2021-01-01T00:00:00.000,accessories,White,M,63ad039eb81d7d00047245a1
64131502dc4717000212cf5a,Supreme Gloves V2 - L,"Be as fresh as you can be with Glow LEDs Supreme White Gloves! Extra stretchy for all sized hands and with a super soft interior that will make you hands happy! Never be without that smooth look when your melting face.
Supreme Gloves are compatible with all Microlights and Gloving accessories.",In Stock,New,3.95 USD,https://www.glow-leds.com/collections/all/products/supreme_gloves_v2_l,https://thumbs2.imgbox.com/b0/b3/HO2xab2t_t.jpeg,https://thumbs2.imgbox.com/67/df/YrEzo8Uv_t.jpeg,Glow LEDs,30,toys & games > electronic toys,Toys & Games > Toys > Visual Toys,0 USD,1970-01-01T00:00:00.000/2021-01-01T00:00:00.000,accessories,White,L,63ad039eb81d7d00047245a1
6413150c127e22000258e00d,Supreme Gloves V2 - XL,"Introducing the new and improved Glow LEDs Supreme Gloves V2: Red Tag Edition! These gloves feature an even stretchier and softer material that is tailored to fit your fluttery fingers even more comfortably than before! The plushy interior provides extra comfort and luxury, making them perfect for long hours of melting face.

With new whites comes new sizing! Whereas the Purple Tags run small, the Red Tags are true to size. We recommend sizing down from what you're used to in Purple Tags (if you were a Large Purple, order a Medium Red). If you've ordered gloves from other companies, order the size that typically fits you there.
We encourage you to try our Sizing Sampler Pack to ensure you get the perfect fit. 
We also offer Refresh Packs, which include 6 pairs of Supremes and 120 batteries of your choice at a discounted bulk price.

These gloves are compatible with all Microlights and Gloving accessories, so you can customize your look and style. Upgrade to the new Glow LEDs Supreme Gloves and take your gloving game to the next level!",In Stock,New,3.95 USD,https://www.glow-leds.com/collections/all/products/supreme_gloves_v2_xl,https://thumbs2.imgbox.com/b0/b3/HO2xab2t_t.jpeg,https://thumbs2.imgbox.com/67/df/YrEzo8Uv_t.jpeg,Glow LEDs,30,toys & games > electronic toys,Toys & Games > Toys > Visual Toys,0 USD,1970-01-01T00:00:00.000/2021-01-01T00:00:00.000,accessories,White,XL,63ad039eb81d7d00047245a1
63bb82109cb68d00040903ca,Refresh Pack V2 (6 Pairs Supreme Gloves V2 + 120 Batteries),"Introducing the new and improved Refresh Pack! This pack is a must-have for any serious glover, providing everything you need to keep your gloves fresh and your lights shining bright.

The Refresh Pack includes 6 pairs of our best-selling Supreme Gloves, which have been updated with a stretchier and softer material for a better fit and more comfort. The gloves also feature a plushy interior for added luxury. The pack also includes 120 coin batteries of your choice, so you'll never be caught with your lights off.

Our Supreme Gloves are compatible with all Microlights and Gloving accessories, so you can customize your look and style. And with the Refresh Pack, you'll save money while stocking up on the essentials. Be sure to check out our Supremes Sizing Sampler Packs to determine your perfect fit if you're unsure what size to get.

The Refresh Pack is perfect for three 2 day festivals, two 3 day festivals or six 1 day events, so you can be fully stocked for all your upcoming events. Don't miss out on this unbeatable deal! Upgrade to the new and improved Refresh Pack today!",In Stock,New,34.99 USD,https://www.glow-leds.com/collections/all/products/refresh_pack_v2_6_pairs_supreme_gloves_v2_120_batteries,https://images2.imgbox.com/65/6d/7XQ4sCYh_o.jpeg,https://images2.imgbox.com/b0/b3/HO2xab2t_o.jpeg,Glow LEDs,30,toys & games > electronic toys,Toys & Games > Toys > Visual Toys,0 USD,1970-01-01T00:00:00.000/2021-01-01T00:00:00.000,gloves,Red,,
60e1581fe615fa002a6c2d98,Bulk CR1620 Batteries,"Why worry about running out of batteries midway through your kickback?
Take advantage of Glow LEDs Bulk Battery options to stock up while saving money!
No more hassling with flimsy cardboard ever again! Our Bulk Batteries come in a plastic tray where each battery is secured by tape so removing batteries is a breeze and spilling is literally impossible.
As long as you keep your batteries in their tray they will never lose power and will stay fresh for ages.
Be fully stocked for your next few night outs, or really stock up and be prepared for anything.
Also check out our Refresh Packs if you’re in need of some new Whites while you’re here.",In Stock,New,3.99 USD,https://www.glow-leds.com/collections/all/products/1620_batteries,https://thumbs2.imgbox.com/6d/c2/9Bx2Ioif_t.jpeg,https://thumbs2.imgbox.com/40/de/bNK4GeBH_t.jpg,Glow LEDs,30,toys & games > electronic toys,Toys & Games > Toys > Visual Toys,0 USD,1970-01-01T00:00:00.000/2021-01-01T00:00:00.000,batteries,,20,63bb82109cb68d00040903ca
6143b76753b416002bda89ab,Bulk CR1616 Batteries,"Why worry about running out of batteries midway through your kickback?
Take advantage of Glow LEDs Bulk Battery options to stock up while saving money!
No more hassling with flimsy cardboard ever again! Our Bulk Batteries come in a plastic tray where each battery is secured by tape so removing batteries is a breeze and spilling is literally impossible.
As long as you keep your batteries in their tray they will never lose power and will stay fresh for ages.
Be fully stocked for your next few night outs, or really stock up and be prepared for anything.
Also check out our Refresh Packs if you’re in need of some new Whites while you’re here.",In Stock,New,9.99 USD,https://www.glow-leds.com/collections/all/products/1616_batteries,https://thumbs2.imgbox.com/0d/44/87ndgyjR_t.jpeg,https://thumbs2.imgbox.com/40/de/bNK4GeBH_t.jpg,Glow LEDs,30,toys & games > electronic toys,Toys & Games > Toys > Visual Toys,0 USD,1970-01-01T00:00:00.000/2021-01-01T00:00:00.000,batteries,,60,63bb82109cb68d00040903ca
60e158d4e615fa002a6c2de4,Bulk CR1225 Batteries,"Why worry about running out of batteries midway through your kickback?
Take advantage of Glow LEDs Bulk Battery options to stock up while saving money!
No more hassling with flimsy cardboard ever again! Our Bulk Batteries come in a plastic tray where each battery is secured by tape so removing batteries is a breeze and spilling is literally impossible.
As long as you keep your batteries in their tray they will never lose power and will stay fresh for ages.
Be fully stocked for your next few night outs, or really stock up and be prepared for anything.
Also check out our Refresh Packs if you’re in need of some new Whites while you’re here.",In Stock,New,6.99 USD,https://www.glow-leds.com/collections/all/products/1225_batteries,https://thumbs2.imgbox.com/b2/c2/E9E1r1KW_t.jpeg,https://thumbs2.imgbox.com/40/de/bNK4GeBH_t.jpg,Glow LEDs,30,toys & games > electronic toys,Toys & Games > Toys > Visual Toys,0 USD,1970-01-01T00:00:00.000/2021-01-01T00:00:00.000,batteries,,40,63bb82109cb68d00040903ca
63bb82649cb68d0004090465,Supreme Gloves V2 Sizing Sampler Pack,"Introducing the new and improved Glow LEDs Supreme Sizing Sampler Pack V2 Edition! We understand that finding the perfect glove fit for your hands is crucial for a comfortable and enjoyable gloving experience. That's why we're offering a sample pack of 3 pairs of gloves in different sizes to help you find the perfect fit.

This pack includes a choice of two different size options: Option 1: S + M + L or Option 2: M + L + XL.
These gloves are built with a stretchier and softer material, and feature an extra plushy interior for added comfort. These gloves are extra white and extra crispy, so your lights can shine as bright as you.

Our Supremes are compatible with all Microlights and Gloving accessories, so you can customize your look and style. And with the Supreme Sizing Sampler Pack, you'll be able to find the best fit for your hands at an awesome discount. Please note that there is a limit of 1 pack per customer and no refunds or exchanges on this product.",In Stock,New,4.99 USD,https://www.glow-leds.com/collections/all/products/supreme_gloves_v2_sizing_sampler_pack,https://thumbs2.imgbox.com/b0/83/fC2mmcMG_t.jpeg,https://thumbs2.imgbox.com/b0/b3/HO2xab2t_t.jpeg,Glow LEDs,1,toys & games > electronic toys,Toys & Games > Toys > Visual Toys,0 USD,1970-01-01T00:00:00.000/2021-01-01T00:00:00.000,gloves,Red,,
